Mask;Score;Gen
?u?u?u?s?l;-0.0;12
?u?u?u?l?l;-7.2;13
?u?u?u?l?l;-7.2;13
?u;-0.0;13
?u;-0.0;13
?u?u?u?u?u;-205.16666666666666;13
?u?u?u?l?l;-7.2;13
?u?u?u?u;-136.33333333333334;13
?u?u?u?l?u;-4.428571428571429;13
?u?u?u?l?l;-7.2;13
?u?u?u?l?l;-7.2;13
?u?u;-0.0;13
?u?u?u?d?d;-10.4;13
?u?u?u?l?l;-7.2;13
?u?u?u?l;-1.3333333333333333;13
?u?u?u?d?d;-10.4;13
?u?u?u?d?d;-10.4;13
?u?u?u?l?u;-4.428571428571429;13
?u?u?u?u?l?d?l?s;-0.0;13
?l?u?l?l?l;-9.2;13
?u?u?u?l?u;-4.428571428571429;13
?u?u?u?l?l;-7.2;13
?u?u?u?l?l;-7.2;13
?u?u?u?l?l?d?l?s;-0.0;13
?u?u?u?l?l;-7.2;13
?l?u?l?u?u;-3.2;13
?u?u?u?l?l;-7.2;13
?u?u?u?l?l?s?l?s;-0.0;13
?u?d?u?u?u;-3.5;13
?l?u?s?u?u;-0.0;13
?u?u?u?u?u;-205.16666666666666;13
?d?u?u?d?d;-2.2;13
?u?u?u?u?u;-205.16666666666666;13
?u?u?u?u?u;-205.16666666666666;13
?u?u?l?l?l;-9.6;13
?u?s?l?l?u;-0.0;13
?u;-0.0;13
?u?u?u?l?l;-7.2;13
?u?d?u?u?u;-3.5;13
?u?l?u?u?u;-5.333333333333333;13
?u?u?u?l?u;-4.428571428571429;13
?u?u?u?u?u;-205.16666666666666;13
?u?u?u?u?u;-205.16666666666666;13
;-0.0;13
?d?u?u?l?l;-2.4;13
?s?u?u?l?l?d?l?s;-0.0;13
?u?u?l?l?u?s?s?s;-0.0;13
?u?l?u?u?u?u?l?s;-0.0;13
?l?u?l?l?l;-9.2;13
?u?u?l?l?u;-5.8;13
?u?l?u?l?l;-6.5;13
?u?u?u?l?l;-7.2;14
?u?u?u?u?u?u?l?s;-0.0;14
?u?u?l?l?u;-5.8;14
?u?u?u?u?l;-4.8;14
?u?u?u?u?u;-205.16666666666666;14
;-0.0;14
?u?u?u?u?u?u?d?s;-0.058823529411764705;14
?u?u;-0.0;14
?u?u?u?u?u;-205.16666666666666;14
?u?u?u?d?d;-10.4;14
?u?u?u?u?u;-205.16666666666666;14
?u?s?u?d?d;-0.4;14
?u?u?u?l?l;-7.2;14
?u?u?l?d?d;-2.2;14
?u?u?d?u?u;-2.4;14
?u?s?u?u?u?l?l?s;-0.0;14
?u?u?u?u?u;-205.16666666666666;14
?u?u?u?u?l;-4.8;14
?u?u?u?u?u;-205.16666666666666;14
?u;-0.0;14
?u?u?u?u?l;-4.8;14
?u?u?l?l;-1.0;14
?u?u?u?d?d;-10.4;14
?u?u?u?u;-136.33333333333334;14
?u?u?u?u?d;-12.0;14
?u?u?u?l?l;-7.2;14
?u?u?u?d?d;-10.4;14
?u?u?u?d?d;-10.4;14
?u?u?u?u?u;-205.16666666666666;14
?u?u?l?l?l;-9.6;14
?u?u?u?u?u;-205.16666666666666;14
?u?u?u?u?u;-205.16666666666666;14
?u?u?u?d?d;-10.4;14
?l?u?u?l?l;-4.833333333333333;14
?u?u?u?u?l;-4.8;14
?s?u?u?l;-0.0;14
?u?u?u?u?u;-205.16666666666666;14
?u?u?u?u?u;-205.16666666666666;14
?u?u?d?u?u;-2.4;14
?u?u?u?d?d;-10.4;14
?u?u?u?d?l;-1.8;14
?u?u?l?l?d;-2.0;14
?u?u?l?u?u;-4.166666666666667;14
?u?u?u?l?l?d?l?s;-0.0;14
?u?u?u?u?u;-205.16666666666666;14
?s?u?u?u?u;-0.0;14
?l?u?l?l?l;-9.2;14
?s?u?u?u?s;-0.2;14
?u?u?u;-0.0;14
?l?u?l?l?l;-9.2;14
?u?l?u?d?d;-3.4;15
?u?u?u?u?u;-205.16666666666666;15
?u?u?u?u?u;-205.16666666666666;15
?u?u?u?u?u;-205.16666666666666;15
?u?u?u?u?d;-12.0;15
?u?u?u?u?u;-205.16666666666666;15
?u?u?u?u;-136.33333333333334;15
?u?u?s?u?u;-0.0;15
?u?u?u?u?u;-205.16666666666666;15
?u?l?u?u?u;-5.333333333333333;15
?u?u?u?u?u;-205.16666666666666;15
?u?u?u?u?u;-205.16666666666666;15
?u?u?u?d?d;-10.4;15
?u?u?u?d?u;-3.0;15
?u?u?u?u?u;-205.16666666666666;15
?u?u?u?u?u;-205.16666666666666;15
?u?d?u?u?u;-3.5;15
?u?u?u?u?u;-205.16666666666666;15
?u?u?u?u?u;-205.16666666666666;15
?u?u?u?u?u;-205.16666666666666;15
?u;-0.0;15
?u?u?u?u?u?u?l?s;-0.0;15
?u?u?u?u?u?s?u?s;-0.0;15
?u?u?u?u?u;-205.16666666666666;15
?u?u?u?u?u?d?l?s;-0.0;15
?u?u?u?u?u?s?d?s;-0.0;15
?u?u?u?u?u;-205.16666666666666;15
?u?d?u?u?u?s?l?s;-0.0;15
?u?u?u?u?u?d?l?s;-0.0;15
?u?u?u?u?u;-205.16666666666666;15
?u?u?u?d?l;-1.8;15
?u?u?u?u?u;-205.16666666666666;15
?u?u?u?u?u;-205.16666666666666;15
?u?u?u?d;-4.666666666666667;15
?u?u?u?u?s;-0.16666666666666666;15
?u?l?u?u?u;-5.333333333333333;15
?u?u?u?u?u;-205.16666666666666;15
?u?u?u?u?d;-12.0;15
?u?u?u?s?u;-0.0;15
?l?u?l?u?d;-2.0;15
?u?u?u?u?u;-205.16666666666666;15
?u?u?u?d?d;-10.4;15
?d?u?u?u?u;-3.2;15
?u?u?u;-0.0;15
?l?u;-0.0;15
?u?u?u?u?u;-205.16666666666666;15
?u?u?u?u?u;-205.16666666666666;15
?u?u?u?u?u;-205.16666666666666;15
?u?u?u?d?u;-3.0;15
?u?u?u?u?d;-12.0;15
?u?u?l?u?u;-4.166666666666667;16
?u?u?u?u?u?s;-0.5;16
?u?u?s?u?u;-0.0;16
?d?u?u?u?u;-3.2;16
?u?u?u?u?u;-205.16666666666666;16
?u?u?u?u?u;-205.16666666666666;16
?u?u?u?u?u;-205.16666666666666;16
?u?u?u?u?u;-205.16666666666666;16
?u?u?u?l?u?u?l?s;-0.0;16
?u?u?u?u?u;-205.16666666666666;16
?u?u?u?u?u;-205.16666666666666;16
?u?u?u?u?u;-205.16666666666666;16
